outer_seed,method,metric,aulc,final
157,gradient_latent_fusion_maxdet,combined_normalized_RMSE,0.5518773174868379,0.5096844632707955
157,gradient_latent_fusion_maxdet,V1_RMSE,4.134668131272535,3.9717582303649808
157,gradient_latent_fusion_maxdet,V2_RMSE,5.9396546233796625,5.036922745899215
157,gradient_latent_fusion_maxdet,V1_R2,0.687406490541072,0.7150246118141608
157,gradient_latent_fusion_maxdet,V2_R2,0.8397030493413107,0.8889152858447225
157,gradient_maxdet,combined_normalized_RMSE,0.5389503013467979,0.48445633847131575
157,gradient_maxdet,V1_RMSE,4.048877493710218,3.801133766060531
157,gradient_maxdet,V2_RMSE,5.767546307644807,4.702727975969987
157,gradient_maxdet,V1_R2,0.7000034748533783,0.7389834458806978
157,gradient_maxdet,V2_R2,0.848322795823073,0.9031669885339729
6101,gradient_latent_fusion_maxdet,combined_normalized_RMSE,0.7032792144498717,0.5515277664490623
6101,gradient_latent_fusion_maxdet,V1_RMSE,4.242336994689897,3.3818010681504647
6101,gradient_latent_fusion_maxdet,V2_RMSE,7.615115439528901,5.8192451589813965
6101,gradient_latent_fusion_maxdet,V1_R2,0.6975464965984932,0.8112791233930127
6101,gradient_latent_fusion_maxdet,V2_R2,0.718485591114633,0.8407413801531496
6101,gradient_maxdet,combined_normalized_RMSE,0.7026443157074912,0.5345587462067403
6101,gradient_maxdet,V1_RMSE,4.2636727575347955,3.332455404317256
6101,gradient_maxdet,V2_RMSE,7.538290787383088,5.476138611359858
6101,gradient_maxdet,V1_R2,0.6956778379247177,0.8167463963079228
6101,gradient_maxdet,V2_R2,0.7258382556294853,0.8589677272582583
