split_mode,seed,config,best_epoch,epochs_run,normalized_valid_score,normalized_test_score,trainable_parameters,total_parameters,source,source_sha256
row,42,last2_head,125,225,0.2120913944499735,0.9589247800153058,186134,775476,experiments/g0_3_threshold_sensitivity/runs/row_seed_42/no_threshold/checkpoints/monotonic_softplus.pt,c9f77c02d58db78d7c17ace5a0c137ed9c1a8f57fbfb52133e25a010d7bbee13
row,42,full_finetune,56,156,0.15760942896845573,0.6537817181598805,775476,775476,,
row,42,paper_style,83,183,0.24259294041262816,0.8120819695796235,242216,831558,,
row,525,last2_head,40,140,0.12683686640500313,0.6774290448011416,186134,775476,experiments/g0_3_threshold_sensitivity/runs/row_seed_525/no_threshold/checkpoints/monotonic_softplus.pt,f7bbcead20872f93c2106a89243fc41d308b0df497506860c68c2bab802070b0
row,525,full_finetune,51,151,0.15764991132282483,1.2169962253299427,775476,775476,,
row,525,paper_style,90,190,0.12190708108826606,0.8513927259180984,242216,831558,,
row,1101,last2_head,481,500,0.14245852692341526,0.4090056682212555,186134,775476,experiments/g0_3_threshold_sensitivity/runs/row_seed_1101/no_threshold/checkpoints/monotonic_softplus.pt,655d5efb4e779ea394e8e093cb36035c9b7626cfd7f40e7711af3c0149d1a6a0
row,1101,full_finetune,48,148,0.17508464603935037,0.3425680786939519,775476,775476,,
row,1101,paper_style,174,274,0.21648040764334014,0.37235252074560954,242216,831558,,
compound,42,last2_head,87,187,0.446611263034198,0.10812260194587245,186134,775476,experiments/g0_3_threshold_sensitivity/runs/compound_seed_42/no_threshold/checkpoints/monotonic_softplus.pt,7e4077fd8e8e0b012a2019588743a01385495d5ea6876d4bdd066eaa0e81b109
compound,42,full_finetune,142,242,0.5774077051405344,0.19298550862303482,775476,775476,,
compound,42,paper_style,61,161,0.48567670089199505,0.11448328064156171,242216,831558,,
compound,525,last2_head,43,143,0.4001656037880877,0.20688575479846796,186134,775476,experiments/g0_3_threshold_sensitivity/runs/compound_seed_525/no_threshold/checkpoints/monotonic_softplus.pt,05f9182f58a6c2af1f487dd50acd87887b389b035fe751f716d0f546f4c5aa0e
compound,525,full_finetune,112,212,0.6426366065939821,0.2192519565269265,775476,775476,,
compound,525,paper_style,39,139,0.43365539789658814,0.2487980816016215,242216,831558,,
compound,1101,last2_head,30,130,0.2074887892330226,0.34336565365687616,186134,775476,experiments/g0_3_threshold_sensitivity/runs/compound_seed_1101/no_threshold/checkpoints/monotonic_softplus.pt,64eb06386c2c562b413cb7ff0564a69908648d2b251e5ae8c792a4e0f24d98e0
compound,1101,full_finetune,4,104,0.28499712163989016,0.3423510859979415,775476,775476,,
compound,1101,paper_style,15,115,0.27000855234407256,0.2700446240024277,242216,831558,,
