sample_id,canonical_smiles,role,split_seed
bbabdb9085edbb8c178b,CC(C)(CCl)c1ccccc1,reserved,20260829
96dc3dc2ebd074200228,CC(C)(CCl)c1ccccc1,reserved,20260829
6322e8f867a741eed74c,CC(C)(CCl)c1ccccc1,reserved,20260829
c2b0aff65443af0a8618,CC(C)(CCl)c1ccccc1,reserved,20260829
f4b69d88ad1d916ee71a,CC(C)(CCl)c1ccccc1,reserved,20260829
0f3559d035355b0eec80,CC(C)(CCl)c1ccccc1,reserved,20260829
d29a94054067cd60dd70,CC(C)(CCl)c1ccccc1,reserved,20260829
31d92ca6486b229184cf,OCCCc1ccccc1,reserved,20260829
8a84cca322477165b719,OCCCc1ccccc1,reserved,20260829
9cf769277f6b42d15f11,OCCCc1ccccc1,reserved,20260829
7a0a82051f50d5b0c89c,OCCCc1ccccc1,reserved,20260829
c79f29f048bbfd157f98,BrCCCc1ccccc1,reserved,20260829
df0074b49eeb620c0768,BrCCCc1ccccc1,reserved,20260829
f0097bc6b7827ef65922,BrCCCc1ccccc1,reserved,20260829
44348f5c4aea3b41ee9d,BrCCCc1ccccc1,reserved,20260829
482cb91fac7f2a936dca,BrCCCc1ccccc1,reserved,20260829
a5c6210123f05414ffc0,BrCCCc1ccccc1,reserved,20260829
a82e55e1cd19814ea307,BrCCCc1ccccc1,reserved,20260829
6ee3c70647b37dcd5417,ClCCCc1ccccc1,analysis,20260829
2c7e37ef828eb17c78fb,ClCCCc1ccccc1,analysis,20260829
7ab9c351196ad891e172,ClCCCc1ccccc1,analysis,20260829
7062ca665af0f9bba6c9,ClCCCc1ccccc1,analysis,20260829
6644e934f59d8b816b9f,ClCCCc1ccccc1,analysis,20260829
8cc7c76a92a4474d7c6a,ClCCCc1ccccc1,analysis,20260829
c883df6ea04f89f45f03,ClCCCc1ccccc1,analysis,20260829
46ed1e35ca65ace74790,COc1ccc(CO)cc1,analysis,20260829
ec581cec37da9563e756,COc1ccc(CO)cc1,analysis,20260829
c2bd8e8f13a96726e7fc,COc1ccc(CO)cc1,analysis,20260829
f1afcbd393ce4f5a6316,COc1ccc(CO)cc1,analysis,20260829
2909efb29670d8f2286d,CCOC(=O)C(C)(C)Br,analysis,20260829
56b391fdec7a2a622e52,CCOC(=O)C(C)(C)Br,analysis,20260829
8a9485661ac2c4576006,CCOC(=O)C(C)(C)Br,analysis,20260829
7f6d1cdee16de4a37a21,CCOC(=O)C(C)(C)Br,analysis,20260829
fd7bf535ef538434b384,CCOC(=O)C(C)(C)Br,analysis,20260829
651bb6b60c62819a4323,CCOC(=O)C(C)(C)Br,analysis,20260829
2a61203b59218a3cbdc6,CCOC(=O)C(C)(C)Br,analysis,20260829
6d6c0510303dec89b2fe,COc1ccc(C=O)cc1,reserved,20260829
f81dc37125414986a0bb,COc1ccc(C=O)cc1,reserved,20260829
400615278105cebb3ed9,COc1ccc(C=O)cc1,reserved,20260829
5d04f6757b59f5c356bb,COc1ccc(C=O)cc1,reserved,20260829
a074620f6970d8f89567,COc1ccc(C=O)cc1,reserved,20260829
454c1ea3beebbec4befe,COc1ccc(C=O)cc1,reserved,20260829
f95928e2618ed15e654f,COc1ccc(C=O)cc1,reserved,20260829
3a02b99399bb0c3e9ff9,COC(=O)C#CC(=O)OC,reserved,20260829
b80a4f9e4b61f534ee9e,COC(=O)C#CC(=O)OC,reserved,20260829
2690de155843f45b00a3,COC(=O)C#CC(=O)OC,reserved,20260829
549eb8499df5181b3558,COC(=O)C#CC(=O)OC,reserved,20260829
02c141e2551937d10f4e,COC(=O)C#CC(=O)OC,reserved,20260829
