outer_seed,method_a,method_b,overlap_count,overlap_fraction,jaccard,comparison_to_raw_gradient_lcmd
1297,latent_farthest_first,gradient_farthest_first,4,0.125,0.06666666666666667,False
1297,latent_farthest_first,raw_gradient_lcmd,3,0.09375,0.04918032786885246,True
1297,latent_farthest_first,gradient_norm_topB,6,0.1875,0.10344827586206896,False
1297,latent_farthest_first,direction_lcmd,0,0.0,0.0,False
1297,latent_farthest_first,tempered_lcmd_alpha_0p5,3,0.09375,0.04918032786885246,False
1297,latent_farthest_first,output_whitened_lcmd,4,0.125,0.06666666666666667,False
1297,latent_farthest_first,center_width_lcmd,2,0.0625,0.03225806451612903,False
1297,latent_lcmd,gradient_farthest_first,1,0.03125,0.015873015873015872,False
1297,latent_lcmd,raw_gradient_lcmd,1,0.03125,0.015873015873015872,True
1297,latent_lcmd,gradient_norm_topB,4,0.125,0.06666666666666667,False
1297,latent_lcmd,direction_lcmd,0,0.0,0.0,False
1297,latent_lcmd,tempered_lcmd_alpha_0p5,2,0.0625,0.03225806451612903,False
1297,latent_lcmd,output_whitened_lcmd,1,0.03125,0.015873015873015872,False
1297,latent_lcmd,center_width_lcmd,4,0.125,0.06666666666666667,False
1297,gradient_farthest_first,raw_gradient_lcmd,16,0.5,0.3333333333333333,True
1297,gradient_farthest_first,gradient_norm_topB,8,0.25,0.14285714285714285,False
1297,gradient_farthest_first,direction_lcmd,1,0.03125,0.015873015873015872,False
1297,gradient_farthest_first,tempered_lcmd_alpha_0p5,9,0.28125,0.16363636363636364,False
1297,gradient_farthest_first,output_whitened_lcmd,11,0.34375,0.20754716981132076,False
1297,gradient_farthest_first,center_width_lcmd,5,0.15625,0.0847457627118644,False
1297,raw_gradient_lcmd,gradient_norm_topB,8,0.25,0.14285714285714285,True
1297,raw_gradient_lcmd,direction_lcmd,1,0.03125,0.015873015873015872,True
1297,raw_gradient_lcmd,tempered_lcmd_alpha_0p5,15,0.46875,0.30612244897959184,True
1297,raw_gradient_lcmd,output_whitened_lcmd,11,0.34375,0.20754716981132076,True
1297,raw_gradient_lcmd,center_width_lcmd,6,0.1875,0.10344827586206896,True
1297,gradient_norm_topB,direction_lcmd,0,0.0,0.0,False
1297,gradient_norm_topB,tempered_lcmd_alpha_0p5,5,0.15625,0.0847457627118644,False
1297,gradient_norm_topB,output_whitened_lcmd,5,0.15625,0.0847457627118644,False
1297,gradient_norm_topB,center_width_lcmd,6,0.1875,0.10344827586206896,False
1297,direction_lcmd,tempered_lcmd_alpha_0p5,1,0.03125,0.015873015873015872,False
1297,direction_lcmd,output_whitened_lcmd,1,0.03125,0.015873015873015872,False
1297,direction_lcmd,center_width_lcmd,3,0.09375,0.04918032786885246,False
1297,tempered_lcmd_alpha_0p5,output_whitened_lcmd,7,0.21875,0.12280701754385964,False
1297,tempered_lcmd_alpha_0p5,center_width_lcmd,5,0.15625,0.0847457627118644,False
1297,output_whitened_lcmd,center_width_lcmd,5,0.15625,0.0847457627118644,False
4093,latent_farthest_first,latent_lcmd,14,0.4375,0.28,False
4093,latent_farthest_first,gradient_farthest_first,7,0.21875,0.12280701754385964,False
4093,latent_farthest_first,raw_gradient_lcmd,4,0.125,0.06666666666666667,True
4093,latent_farthest_first,gradient_norm_topB,2,0.0625,0.03225806451612903,False
4093,latent_farthest_first,direction_lcmd,0,0.0,0.0,False
4093,latent_farthest_first,tempered_lcmd_alpha_0p5,7,0.21875,0.12280701754385964,False
4093,latent_farthest_first,output_whitened_lcmd,5,0.15625,0.0847457627118644,False
4093,latent_farthest_first,center_width_lcmd,2,0.0625,0.03225806451612903,False
4093,latent_lcmd,gradient_farthest_first,7,0.21875,0.12280701754385964,False
4093,latent_lcmd,raw_gradient_lcmd,3,0.09375,0.04918032786885246,True
4093,latent_lcmd,gradient_norm_topB,3,0.09375,0.04918032786885246,False
4093,latent_lcmd,direction_lcmd,0,0.0,0.0,False
4093,latent_lcmd,tempered_lcmd_alpha_0p5,3,0.09375,0.04918032786885246,False
4093,latent_lcmd,output_whitened_lcmd,4,0.125,0.06666666666666667,False
4093,latent_lcmd,center_width_lcmd,5,0.15625,0.0847457627118644,False
4093,gradient_farthest_first,raw_gradient_lcmd,16,0.5,0.3333333333333333,True
4093,gradient_farthest_first,gradient_norm_topB,6,0.1875,0.10344827586206896,False
4093,gradient_farthest_first,direction_lcmd,0,0.0,0.0,False
4093,gradient_farthest_first,tempered_lcmd_alpha_0p5,8,0.25,0.14285714285714285,False
4093,gradient_farthest_first,output_whitened_lcmd,8,0.25,0.14285714285714285,False
4093,gradient_farthest_first,center_width_lcmd,6,0.1875,0.10344827586206896,False
4093,raw_gradient_lcmd,gradient_norm_topB,3,0.09375,0.04918032786885246,True
4093,raw_gradient_lcmd,direction_lcmd,0,0.0,0.0,True
4093,raw_gradient_lcmd,tempered_lcmd_alpha_0p5,6,0.1875,0.10344827586206896,True
4093,raw_gradient_lcmd,output_whitened_lcmd,6,0.1875,0.10344827586206896,True
4093,raw_gradient_lcmd,center_width_lcmd,6,0.1875,0.10344827586206896,True
4093,gradient_norm_topB,direction_lcmd,0,0.0,0.0,False
4093,gradient_norm_topB,tempered_lcmd_alpha_0p5,2,0.0625,0.03225806451612903,False
4093,gradient_norm_topB,output_whitened_lcmd,1,0.03125,0.015873015873015872,False
4093,gradient_norm_topB,center_width_lcmd,3,0.09375,0.04918032786885246,False
4093,direction_lcmd,tempered_lcmd_alpha_0p5,2,0.0625,0.03225806451612903,False
4093,direction_lcmd,output_whitened_lcmd,1,0.03125,0.015873015873015872,False
4093,direction_lcmd,center_width_lcmd,0,0.0,0.0,False
4093,tempered_lcmd_alpha_0p5,output_whitened_lcmd,5,0.15625,0.0847457627118644,False
4093,tempered_lcmd_alpha_0p5,center_width_lcmd,4,0.125,0.06666666666666667,False
4093,output_whitened_lcmd,center_width_lcmd,3,0.09375,0.04918032786885246,False
8191,latent_farthest_first,latent_lcmd,17,0.53125,0.3617021276595745,False
8191,latent_farthest_first,gradient_farthest_first,6,0.1875,0.10344827586206896,False
8191,latent_farthest_first,raw_gradient_lcmd,4,0.125,0.06666666666666667,True
8191,latent_farthest_first,gradient_norm_topB,5,0.15625,0.0847457627118644,False
8191,latent_farthest_first,direction_lcmd,1,0.03125,0.015873015873015872,False
8191,latent_farthest_first,tempered_lcmd_alpha_0p5,0,0.0,0.0,False
8191,latent_farthest_first,output_whitened_lcmd,4,0.125,0.06666666666666667,False
8191,latent_farthest_first,center_width_lcmd,5,0.15625,0.0847457627118644,False
8191,latent_lcmd,gradient_farthest_first,3,0.09375,0.04918032786885246,False
8191,latent_lcmd,raw_gradient_lcmd,3,0.09375,0.04918032786885246,True
8191,latent_lcmd,gradient_norm_topB,3,0.09375,0.04918032786885246,False
8191,latent_lcmd,direction_lcmd,1,0.03125,0.015873015873015872,False
8191,latent_lcmd,tempered_lcmd_alpha_0p5,1,0.03125,0.015873015873015872,False
8191,latent_lcmd,output_whitened_lcmd,3,0.09375,0.04918032786885246,False
8191,latent_lcmd,center_width_lcmd,1,0.03125,0.015873015873015872,False
8191,gradient_farthest_first,raw_gradient_lcmd,11,0.34375,0.20754716981132076,True
