column,protocol,seed,budget,actual_budget,method,target,dimension,level,q33,q67,q90,n,rmse,mae,median_absolute_error
8g,row,769539383,30,30,scale_only,V1,source_q50,low,5.393416254,7.247428477,15.695322000000013,54,4.563740988753954,4.004678361914135,3.7400360306220115
8g,row,769539383,30,30,scale_only,V1,source_q50,mid,5.393416254,7.247428477,15.695322000000013,30,6.10666839026492,5.670989597400324,5.717593349785587
8g,row,769539383,30,30,scale_only,V1,source_q50,high,5.393416254,7.247428477,15.695322000000013,31,17.547392728307766,12.259800008131544,8.328779299895423
8g,row,769539383,30,30,scale_only,V1,source_q50,top10,5.393416254,7.247428477,15.695322000000013,10,27.355502021652086,20.09508984312698,13.56697405158696
8g,row,769539383,30,30,scale_only,V1,target_magnitude,low,9.839333333333332,13.844000000000005,30.655000000000022,38,12.43901705913464,7.368818714894049,4.6162770960012
8g,row,769539383,30,30,scale_only,V1,target_magnitude,mid,9.839333333333332,13.844000000000005,30.655000000000022,39,4.657656299332629,4.2572459925375385,3.9965239075404284
8g,row,769539383,30,30,scale_only,V1,target_magnitude,high,9.839333333333332,13.844000000000005,30.655000000000022,38,11.542730647158175,8.431274074802971,6.866152922507598
8g,row,769539383,30,30,scale_only,V1,target_magnitude,top10,9.839333333333332,13.844000000000005,30.655000000000022,12,16.94128275425884,12.808851451037981,9.29745135113809
8g,row,769539383,30,30,scale_only,V1,EA,low,,,,40,14.218062654709502,8.520021809989013,4.717352437613508
8g,row,769539383,30,30,scale_only,V1,EA,mid,,,,55,6.98052791267943,5.505251854696835,3.8622710761694012
8g,row,769539383,30,30,scale_only,V1,EA,high,,,,20,7.150247017843515,6.142319765478225,5.1093230013008135
8g,row,769539383,30,30,scale_only,V2,source_q50,low,11.6150533,16.86315068,28.017366000000006,48,5.773788039810496,4.987772958191933,4.662134619499546
8g,row,769539383,30,30,scale_only,V2,source_q50,mid,11.6150533,16.86315068,28.017366000000006,29,10.942846828845743,8.27096313662276,7.201381505547992
8g,row,769539383,30,30,scale_only,V2,source_q50,high,11.6150533,16.86315068,28.017366000000006,38,26.549133018243086,19.326897646997764,15.198252690514078
8g,row,769539383,30,30,scale_only,V2,source_q50,top10,11.6150533,16.86315068,28.017366000000006,17,36.29334942769376,27.93245560296156,20.505813394254616
8g,row,769539383,30,30,scale_only,V2,target_magnitude,low,18.405666666666665,29.608500000000006,63.74333333333334,38,17.97097783677954,8.217321931516237,5.175039346586983
8g,row,769539383,30,30,scale_only,V2,target_magnitude,mid,18.405666666666665,29.608500000000006,63.74333333333334,39,10.464935383919528,8.218660455508342,6.033336439427973
8g,row,769539383,30,30,scale_only,V2,target_magnitude,high,18.405666666666665,29.608500000000006,63.74333333333334,38,20.074810793394043,15.287030325756458,11.667121103469539
8g,row,769539383,30,30,scale_only,V2,target_magnitude,top10,18.405666666666665,29.608500000000006,63.74333333333334,12,31.110013982621012,27.023452278547722,23.469574608194332
8g,row,769539383,30,30,scale_only,V2,EA,low,,,,40,24.134473714604095,15.613004656707949,10.095784903264633
8g,row,769539383,30,30,scale_only,V2,EA,mid,,,,55,11.036376369676413,7.856754475768584,5.70580615294466
8g,row,769539383,30,30,scale_only,V2,EA,high,,,,20,9.641923440520838,7.852573055279886,5.9458136613322665
8g,row,769539383,30,30,local_identity_shrinkage,V1,source_q50,low,5.393416254,7.247428477,15.695322000000013,54,3.6615199268992353,2.6190909452038884,2.0533114181907237
8g,row,769539383,30,30,local_identity_shrinkage,V1,source_q50,mid,5.393416254,7.247428477,15.695322000000013,30,4.35825325732184,3.733838428203756,3.76827385073555
8g,row,769539383,30,30,local_identity_shrinkage,V1,source_q50,high,5.393416254,7.247428477,15.695322000000013,31,14.930523124941683,9.678891064526429,5.754204460723866
8g,row,769539383,30,30,local_identity_shrinkage,V1,source_q50,top10,5.393416254,7.247428477,15.695322000000013,10,23.686709891011358,16.01714205633419,7.514502919595127
8g,row,769539383,30,30,local_identity_shrinkage,V1,target_magnitude,low,9.839333333333332,13.844000000000005,30.655000000000022,38,10.972158486952647,5.5321625842157625,2.9519501624741102
8g,row,769539383,30,30,local_identity_shrinkage,V1,target_magnitude,mid,9.839333333333332,13.844000000000005,30.655000000000022,39,3.0172013305585805,2.506183535330401,2.2754513672618284
8g,row,769539383,30,30,local_identity_shrinkage,V1,target_magnitude,high,9.839333333333332,13.844000000000005,30.655000000000022,38,9.28289316252081,6.461272389719931,4.716202187824642
8g,row,769539383,30,30,local_identity_shrinkage,V1,target_magnitude,top10,9.839333333333332,13.844000000000005,30.655000000000022,12,13.410578002439225,9.506009650650967,5.4967998987298365
8g,row,769539383,30,30,local_identity_shrinkage,V1,EA,low,,,,40,12.246343872355563,6.568805358708483,3.4660316411211225
8g,row,769539383,30,30,local_identity_shrinkage,V1,EA,mid,,,,55,5.358947034332838,3.6802322697508876,2.1845830700034092
8g,row,769539383,30,30,local_identity_shrinkage,V1,EA,high,,,,20,5.594219549667347,4.416334885140194,3.4260192463054353
8g,row,769539383,30,30,local_identity_shrinkage,V2,source_q50,low,11.6150533,16.86315068,28.017366000000006,48,4.9175249115608235,3.4990049713487976,2.614707841133021
8g,row,769539383,30,30,local_identity_shrinkage,V2,source_q50,mid,11.6150533,16.86315068,28.017366000000006,29,10.11801209753388,6.9548102416191,5.805888120904559
8g,row,769539383,30,30,local_identity_shrinkage,V2,source_q50,high,11.6150533,16.86315068,28.017366000000006,38,24.979044279906635,17.144299627292487,12.64280764331171
8g,row,769539383,30,30,local_identity_shrinkage,V2,source_q50,top10,11.6150533,16.86315068,28.017366000000006,17,34.51524967783144,25.52600983691282,17.9985027411753
8g,row,769539383,30,30,local_identity_shrinkage,V2,target_magnitude,low,18.405666666666665,29.608500000000006,63.74333333333334,38,16.98193186902565,5.972858444272709,2.707100614117137
8g,row,769539383,30,30,local_identity_shrinkage,V2,target_magnitude,mid,18.405666666666665,29.608500000000006,63.74333333333334,39,8.907120090212178,6.57119714556221,5.805888120904559
8g,row,769539383,30,30,local_identity_shrinkage,V2,target_magnitude,high,18.405666666666665,29.608500000000006,63.74333333333334,38,19.047715052189556,14.154731892355825,10.112246756052382
8g,row,769539383,30,30,local_identity_shrinkage,V2,target_magnitude,top10,18.405666666666665,29.608500000000006,63.74333333333334,12,30.02305868723215,25.486762981071053,23.002618044541137
8g,row,769539383,30,30,local_identity_shrinkage,V2,EA,low,,,,40,22.793676021782332,13.526279763937385,7.562109010021265
8g,row,769539383,30,30,local_identity_shrinkage,V2,EA,mid,,,,55,9.997800123053736,6.345091404736006,3.671963960916967
8g,row,769539383,30,30,local_identity_shrinkage,V2,EA,high,,,,20,8.83216595718996,6.554695182541747,4.739760640888334
8g,row,769539383,30,30,conditional_EA,V1,source_q50,low,5.393416254,7.247428477,15.695322000000013,54,3.4087699865200145,2.015220755724552,1.331977670207598
8g,row,769539383,30,30,conditional_EA,V1,source_q50,mid,5.393416254,7.247428477,15.695322000000013,30,3.0679063385231555,2.6825709800368354,2.284873224478998
8g,row,769539383,30,30,conditional_EA,V1,source_q50,high,5.393416254,7.247428477,15.695322000000013,31,15.201998712917158,9.229046811641954,6.104930779793669
8g,row,769539383,30,30,conditional_EA,V1,source_q50,top10,5.393416254,7.247428477,15.695322000000013,10,24.640412037605383,16.179218379652454,9.130901611332963
8g,row,769539383,30,30,conditional_EA,V1,target_magnitude,low,9.839333333333332,13.844000000000005,30.655000000000022,38,10.60429162777925,3.7645678548159425,1.6751769143846476
8g,row,769539383,30,30,conditional_EA,V1,target_magnitude,mid,9.839333333333332,13.844000000000005,30.655000000000022,39,2.6285154579515018,2.1163038392647096,2.2127519369431
8g,row,769539383,30,30,conditional_EA,V1,target_magnitude,high,9.839333333333332,13.844000000000005,30.655000000000022,38,9.640043950633578,6.57394929360005,4.713793215003722
8g,row,769539383,30,30,conditional_EA,V1,target_magnitude,top10,9.839333333333332,13.844000000000005,30.655000000000022,12,13.714331545380167,9.294152882989813,6.449663058530771
8g,row,769539383,30,30,conditional_EA,V1,EA,low,,,,40,12.984025370563382,6.935906214125309,3.184509768622111
8g,row,769539383,30,30,conditional_EA,V1,EA,mid,,,,55,4.60492323572095,2.722654367552748,1.630827872884021
8g,row,769539383,30,30,conditional_EA,V1,EA,high,,,,20,2.865838437265687,2.4108631295358953,2.1654685903930515
8g,row,769539383,30,30,conditional_EA,V2,source_q50,low,11.6150533,16.86315068,28.017366000000006,48,5.004515517130929,3.390432063944546,2.525920453650526
8g,row,769539383,30,30,conditional_EA,V2,source_q50,mid,11.6150533,16.86315068,28.017366000000006,29,10.039472543029113,6.7478207918516775,5.302928064468212
8g,row,769539383,30,30,conditional_EA,V2,source_q50,high,11.6150533,16.86315068,28.017366000000006,38,24.989276240630982,16.951949109503172,12.788549094501251
8g,row,769539383,30,30,conditional_EA,V2,source_q50,top10,11.6150533,16.86315068,28.017366000000006,17,34.75285890366046,25.58964460783979,18.0226052051339
8g,row,769539383,30,30,conditional_EA,V2,target_magnitude,low,18.405666666666665,29.608500000000006,63.74333333333334,38,16.998236777135904,5.666750874249817,2.692469630013954
8g,row,769539383,30,30,conditional_EA,V2,target_magnitude,mid,18.405666666666665,29.608500000000006,63.74333333333334,39,8.549541339157715,6.332159142081693,5.3777406715077944
8g,row,769539383,30,30,conditional_EA,V2,target_magnitude,high,18.405666666666665,29.608500000000006,63.74333333333334,38,19.210964010398563,14.218707063986278,10.13201094706685
8g,row,769539383,30,30,conditional_EA,V2,target_magnitude,top10,18.405666666666665,29.608500000000006,63.74333333333334,12,30.24021494589588,25.501566608905495,22.255916584019936
8g,row,769539383,30,30,conditional_EA,V2,EA,low,,,,40,23.017188690922275,13.688398665930327,7.81501863254157
8g,row,769539383,30,30,conditional_EA,V2,EA,mid,,,,55,9.759713841188736,6.103818506815731,3.3785088514959654
8g,row,769539383,30,30,conditional_EA,V2,EA,high,,,,20,8.438711749074177,5.9677821841039576,4.390003352255588
8g,row,769539383,30,30,conditional_policy,V1,source_q50,low,5.393416254,7.247428477,15.695322000000013,54,3.6615199268992353,2.6190909452038884,2.0533114181907237
8g,row,769539383,30,30,conditional_policy,V1,source_q50,mid,5.393416254,7.247428477,15.695322000000013,30,4.35825325732184,3.733838428203756,3.76827385073555
8g,row,769539383,30,30,conditional_policy,V1,source_q50,high,5.393416254,7.247428477,15.695322000000013,31,14.930523124941683,9.678891064526429,5.754204460723866
8g,row,769539383,30,30,conditional_policy,V1,source_q50,top10,5.393416254,7.247428477,15.695322000000013,10,23.686709891011358,16.01714205633419,7.514502919595127
8g,row,769539383,30,30,conditional_policy,V1,target_magnitude,low,9.839333333333332,13.844000000000005,30.655000000000022,38,10.972158486952647,5.5321625842157625,2.9519501624741102
8g,row,769539383,30,30,conditional_policy,V1,target_magnitude,mid,9.839333333333332,13.844000000000005,30.655000000000022,39,3.0172013305585805,2.506183535330401,2.2754513672618284
8g,row,769539383,30,30,conditional_policy,V1,target_magnitude,high,9.839333333333332,13.844000000000005,30.655000000000022,38,9.28289316252081,6.461272389719931,4.716202187824642
8g,row,769539383,30,30,conditional_policy,V1,target_magnitude,top10,9.839333333333332,13.844000000000005,30.655000000000022,12,13.410578002439225,9.506009650650967,5.4967998987298365
8g,row,769539383,30,30,conditional_policy,V1,EA,low,,,,40,12.246343872355563,6.568805358708483,3.4660316411211225
8g,row,769539383,30,30,conditional_policy,V1,EA,mid,,,,55,5.358947034332838,3.6802322697508876,2.1845830700034092
8g,row,769539383,30,30,conditional_policy,V1,EA,high,,,,20,5.594219549667347,4.416334885140194,3.4260192463054353
8g,row,769539383,30,30,conditional_policy,V2,source_q50,low,11.6150533,16.86315068,28.017366000000006,48,4.9175249115608235,3.4990049713487976,2.614707841133021
8g,row,769539383,30,30,conditional_policy,V2,source_q50,mid,11.6150533,16.86315068,28.017366000000006,29,10.11801209753388,6.9548102416191,5.805888120904559
8g,row,769539383,30,30,conditional_policy,V2,source_q50,high,11.6150533,16.86315068,28.017366000000006,38,24.979044279906635,17.144299627292487,12.64280764331171
8g,row,769539383,30,30,conditional_policy,V2,source_q50,top10,11.6150533,16.86315068,28.017366000000006,17,34.51524967783144,25.52600983691282,17.9985027411753
8g,row,769539383,30,30,conditional_policy,V2,target_magnitude,low,18.405666666666665,29.608500000000006,63.74333333333334,38,16.98193186902565,5.972858444272709,2.707100614117137
